OID_,status,score,match_type,match_addr,addr_type,ref_id,user_fld,side,arc_street,arc_city,arc_state,dctyname,ffacid,ffacname,ffacid2,ffacid3,ffacid4,ffacid5,ffacid6,fstreet,fcity,fstate,fzip,flstreet,flcity,flstate,flzip,fphone,ffax,foptype,fopcat,fstaffid,fmetmh,ppermit,pfromdt,femail,pcap,pcap2,pcap3,flat,flong,admin1,admin2,owner1,owner2
1,M,97.560000000000002,A,"5842 HICKORY GROVE RD, CHARLOTTE, NC, 28215",PointAddress,,,,5842 HICKORY GROVE RD,CHARLOTTE,NC,Mecklenburg,60004318,Anointed Future Child Development Center,,,,,,,,NC,,5842 Hickory Grove Rd,CHARLOTTE,NC,28215,(980) 355-0008,,Center,Independent,RKWASHIN,0.000000000000000,Four Star Center License,20-Jun-24 00:00:00,ms.janicewhite66@yahoo.com,40.000000000000000,40.000000000000000,0.000000000000000,35.222408999999999,-80.729248500000011,,,"White, Janice M",
2,M,97.799999999999997,A,"210 PINEVILLE-MATTHEWS RD, MATTHEWS, NC, 28105",PointAddress,,,,210 PINEVILLE-MATTHEWS RD,MATTHEWS,NC,Mecklenburg,60004324,Childcare Network #96,60000852,60001361,,,,,,,,210 Pineville-Matthews Road,MATTHEWS,NC,28105,(704) 847-9484,,Center,Independent,LKEDDINS,0.000000000000000,Five Star Center License,28-Jul-24 00:00:00,cni96@childcarenetwork.com,173.000000000000000,0.000000000000000,0.000000000000000,35.118134999999995,-80.741744999999995,Brianna Glover,,Child Development Schools North Carolina LLC,
3,M,97.439999999999998,A,"300 HAWTHORNE LN, CHARLOTTE, NC, 28204",PointAddress,,,,300 HAWTHORNE LN,CHARLOTTE,NC,Mecklenburg,60003619,ST. JOHN'S BAPTIST CHURCH WEEKDAY SCHOOL,,,,,,,,NC,,300 HAWTHORNE LANE,CHARLOTTE,NC,28204,(704) 333-5428,,Center,Religious Sponsored,MBRINTON,0.000000000000000,GS 110-106,11-Jul-24 00:00:00,weekdayschool@sjcharlotte.org,86.000000000000000,0.000000000000000,0.000000000000000,35.213922000000004,-80.823757499999999,LYDIA OLMSTED,,ST. JOHN'S BAPTIST CHURCH,
4,M,97.439999999999998,A,"8601 OLD CONCORD RD, CHARLOTTE, NC, 28213",PointAddress,,,,8601 OLD CONCORD RD,CHARLOTTE,NC,Mecklenburg,60003868,DOROTHY J. VAUGHAN ASEP,,,,,,1901 HERBERT SPAUGH LANE,CHARLOTTE,NC,28208,8601 OLD CONCORD RD,CHARLOTTE,NC,28213,(980) 343-3864,,Center,Local Public School,SDPALMER,0.000000000000000,Five Star Center License,30-Apr-19 00:00:00,stephen.hall@cms.k12.nc.us,150.000000000000000,0.000000000000000,0.000000000000000,35.285553000000000,-80.733644999999996,LAURA LEIGH BISHOP,,CHARLOTTE-MECKLENBURG SCHOOLS-ASEP,
5,M,97.439999999999998,A,"2125 NORWICH PL, CHARLOTTE, NC, 28208",PointAddress,,,,2125 NORWICH PL,CHARLOTTE,NC,Mecklenburg,60003666,A MOTHER'S DREAM LEARNING CENTER,,,,,,,,NC,,2125 NORWICH PLACE,CHARLOTTE,NC,28208,(704) 449-1858,,Center,Independent,LSBERRY,0.000000000000000,Four Star Center License,02-Apr-19 00:00:00,amothersdreaminc@yahoo.com,12.000000000000000,5.000000000000000,0.000000000000000,35.210961000000005,-80.892490499999994,LATASHA WATKINS,,"A MOTHER'S DREAM C.D.C., INC.",
6,M,96.180000000000007,A,"8208 MT HOLLY-HUNTERSVILLE RD, CHARLOTTE, NC, 28216",PointAddress,,,,8208 MT HOLLY-HUNTERSVILLE RD,CHARLOTTE,NC,Mecklenburg,60004376,The Learning Experience at Mt Holly,60004126,,,,,,,,,8208 Mt. Holly-Huntersville Rd,HUNTERSVILLE,NC,28216,(980) 299-1811,,Center,Independent,MNCUTHBE,0.000000000000000,Three Star Center License,19-May-25 00:00:00,lavante.adams@tlechildcare.com,167.000000000000000,0.000000000000000,0.000000000000000,35.345844000000000,-80.886028499999995,Lavante Adams,,Childcare Partners at Charlotte-Mt Holly LLC,
7,M,100.000000000000000,PP,"x=1406773.423555, y=517936.678639",,,, ,,,,Mecklenburg,60004399,World of Wonder Christian Childcare,60001589,60002575,,,,,,,,6211 Rock Island Road,CHARLOTTE,NC,28278,(980) 219-7375,,Family CC Home,Independent,ALITALIA,0.000000000000000,Temporary FCCH License,03-Jun-25 00:00:00,laurenharris198@gmail.com,8.000000000000000,5.000000000000000,0.000000000000000,35.156837969999998,-80.984894310000001,,,World of Wonder Childcare,
8,M,97.659999999999997,A,"12449 STOWE ACRES DR, CHARLOTTE, NC, 28262",PointAddress,,,,12449 STOWE ACRES DR,CHARLOTTE,NC,Mecklenburg,60004377,ODIE'S SHINNING STARZ DAYCARE INC.,,,,,,,,NC,,12449 Stowe Acres Drive,CHARLOTTE,NC,28262,(704) 576-0194,,Family CC Home,Independent,JKSTANSF,0.000000000000000,Four Star Family CC Home License,26-May-25 00:00:00,bird_81301@yahoo.com,8.000000000000000,0.000000000000000,0.000000000000000,35.358965999999995,-80.744710499999997,,,ODIE'S SHINING STARZ DAYCARE INC,
9,M,98.239999999999995,A,"11524 N TRYON ST, #4, CHARLOTTE, NC, 28262",Subaddress,,,,11524 N TRYON ST,CHARLOTTE,NC,Mecklenburg,60004381,Babies and Beyond Academy,,,,,,,,NC,,11524 N Tryon #4,CHARLOTTE,NC,28262,(704) 307-3820,,Center,Independent,JKSTANSF,0.000000000000000,One Star Center License,20-Jun-25 00:00:00,turnergeena@gamil.com,65.000000000000000,0.000000000000000,0.000000000000000,35.334081000000005,-80.713669499999995,Kamaria Bell,,"Turner, Geena",
10,M,97.560000000000002,A,"8726 EAGLEWIND DR, CHARLOTTE, NC, 28212",PointAddress,,,,8726 EAGLEWIND DR,CHARLOTTE,NC,Mecklenburg,60003669,GRANDMA'S ANGELS,,,,,,,,NC,,8726 EAGLEWIND DRIVE,CHARLOTTE,NC,28212,(704) 222-5424,,Family CC Home,Independent,QSTHOMPS,0.000000000000000,Four Star Family CC Home License,16-Aug-23 00:00:00,kingpat13202@yahoo.com,8.000000000000000,0.000000000000000,5.000000000000000,35.174565000000001,-80.731601999999995,PATRICIA A. KING,,"KING, PATRICIA A",
